NOTA_CN,NOTA_MT,NOTA_LC,NOTA_CH,NOTA_REDACAO,nota_final
494.4,650.5,546.4,591.5,580.0,572.5600000000001
434.1,607.4,451.7,556.1,500.0,509.86
430.0,491.0,461.8,625.3,500.0,501.62
535.7,648.8,554.3,579.5,640.0,591.6600000000001
504.5,565.3,535.3,641.5,820.0,613.3199999999999
605.7,605.8,568.4,651.0,720.0,630.1800000000001
702.0,724.0,630.2,722.8,940.0,743.8
449.0,579.5,614.5,521.6,580.0,548.92
353.5,391.1,368.4,365.9,440.0,383.78000000000003
508.1,646.7,586.5,652.7,680.0,614.8
430.8,444.6,419.8,359.4,420.0,414.91999999999996
555.0,589.7,569.9,554.5,880.0,629.8199999999999
485.4,446.7,518.2,528.9,600.0,515.8399999999999
613.7,707.0,620.1,611.8,700.0,650.5200000000001
524.4,613.5,586.2,634.9,960.0,663.8
641.5,790.5,605.8,690.8,900.0,725.72
497.0,524.1,518.0,506.9,460.0,501.2
553.2,610.5,555.9,614.2,960.0,658.76
576.5,669.5,517.3,633.2,740.0,627.3
662.9,789.6,661.8,659.5,840.0,722.76
461.6,470.5,523.9,517.2,800.0,554.64
391.5,422.6,463.9,372.6,0.0,330.12
605.2,713.3,619.3,672.4,780.0,678.04
547.1,702.3,580.4,606.5,880.0,663.26
419.3,431.1,482.9,392.6,380.0,421.18
380.5,626.2,522.7,551.8,620.0,540.24
623.7,664.5,612.6,633.4,860.0,678.84
430.2,473.5,513.7,583.0,620.0,524.08
614.3,685.3,580.0,614.4,900.0,678.8
451.7,649.7,591.9,582.5,580.0,571.1600000000001
672.1,778.0,571.7,619.7,780.0,684.3
453.3,429.2,501.0,496.1,580.0,491.91999999999996
544.4,577.1,519.7,585.4,580.0,561.3199999999999
526.8,670.7,594.5,613.6,600.0,601.12
480.1,427.7,439.2,407.0,300.0,410.8
486.2,652.8,581.5,623.3,640.0,596.76
624.6,788.5,555.0,644.2,740.0,670.46
383.7,403.8,442.1,467.1,740.0,487.34
435.5,485.4,507.2,595.2,620.0,528.6600000000001
610.4,734.5,683.1,765.2,620.0,682.64
557.1,681.5,588.4,672.7,920.0,683.9399999999999
364.3,438.6,562.1,459.8,540.0,472.96000000000004
491.6,542.1,527.1,500.1,520.0,516.1800000000001
538.5,670.4,544.3,548.6,800.0,620.36
439.2,403.6,363.7,392.0,600.0,439.7
515.6,559.4,530.4,580.2,560.0,549.1200000000001
467.2,658.2,527.4,561.1,800.0,602.78
661.6,758.7,607.2,639.1,940.0,721.32
441.8,475.1,473.7,508.5,680.0,515.82
555.1,574.7,536.5,495.5,480.0,528.36
458.4,430.1,537.0,536.0,720.0,536.3
566.9,628.9,444.0,552.8,620.0,562.52
604.6,658.7,620.8,713.0,800.0,679.4200000000001
572.5,766.9,527.0,627.8,780.0,654.8399999999999
401.8,490.7,496.2,437.8,440.0,453.3
722.5,887.0,576.1,645.9,940.0,754.3
518.5,661.8,578.1,606.4,800.0,632.96
520.4,597.2,624.2,604.5,920.0,653.26
369.5,409.3,336.0,408.3,280.0,360.62
436.6,536.5,490.0,533.7,700.0,539.36
653.3,732.8,648.3,632.2,880.0,709.3199999999999
375.7,437.5,458.2,416.6,360.0,409.6
486.4,547.0,546.5,522.0,540.0,528.38
519.3,544.8,543.8,580.7,760.0,589.72
539.7,582.3,558.4,460.3,840.0,596.1400000000001
576.3,476.9,601.8,592.9,780.0,605.5799999999999
481.3,613.4,507.7,596.9,720.0,583.86
440.9,471.7,525.1,512.6,640.0,518.06
580.0,656.9,586.6,609.0,860.0,658.5
528.3,530.3,509.2,413.3,780.0,552.22
411.4,412.8,500.1,501.9,740.0,513.24
454.2,490.4,486.3,520.9,400.0,470.35999999999996
472.0,362.2,517.0,530.7,560.0,488.38
513.5,628.7,417.5,479.5,940.0,595.8399999999999
572.1,570.4,595.2,633.7,860.0,646.28
489.0,580.7,574.4,524.8,840.0,601.78
480.8,496.2,473.6,630.2,580.0,532.1600000000001
582.9,732.6,648.1,672.3,680.0,663.18
524.4,606.4,639.5,640.0,940.0,670.0600000000001
599.3,602.3,609.4,634.0,860.0,661.0
605.5,722.2,572.0,524.7,900.0,664.88
