TP_FAIXA_ETARIA,SEXO,TP_COR_RACA,TP_ESCOLA,MUNIC_ESCOLA,SG_UF_ESC,NO_MUNICIPIO_PROVA,UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NOTA_REDACAO,nota_final
17 anos,M,Branco,Pública,São Caetano do Sul,SP,Santo André,SP,1,1,1,1,452.1,617.2,570.5,633.5,700.0,594.6600000000001
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,619.3,671.1,623.2,614.2,760.0,657.5600000000001
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,493.2,420.0,478.1,460.9,620.0,494.43999999999994
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,609.4,621.8,550.5,682.8,580.0,608.9
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,530.6,585.2,563.2,502.1,760.0,588.22
18 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,413.3,422.0,478.0,490.9,660.0,492.84
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,491.4,416.6,490.4,536.3,580.0,502.93999999999994
18 anos,F,Pardo,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,406.8,0.0,536.3,449.6,640.0,406.54
Entre 31 e 35 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,470.5,562.6,559.0,532.5,540.0,532.92
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,570.0,507.9,476.6,657.5,740.0,590.4
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,511.3,594.3,557.0,656.2,600.0,583.76
25 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,637.5,646.9,671.4,756.5,760.0,694.46
17 anos,F,Pardo,Pública,Mauá,SP,Santo André,SP,1,1,1,1,437.0,562.0,479.0,485.7,520.0,496.73999999999995
Entre 56 e 60 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,606.6,639.2,544.9,644.8,480.0,583.1
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,465.0,598.2,567.9,480.7,800.0,582.36
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,507.2,520.9,518.1,473.0,460.0,495.84000000000003
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,604.7,671.9,615.3,779.1,720.0,678.2
18 anos,F,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,426.9,594.1,528.9,420.6,520.0,498.1
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,485.5,547.1,482.5,644.0,780.0,587.8199999999999
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,453.7,557.0,521.7,644.1,620.0,559.3
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,576.7,549.2,576.4,548.3,620.0,574.1200000000001
21 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,419.2,497.3,514.0,497.9,600.0,505.67999999999995
18 anos,M,Preto,Privada,,,Santo André,SP,1,1,1,1,464.7,481.3,478.1,482.0,640.0,509.2200000000001
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,565.4,621.4,633.1,733.6,620.0,634.7
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,595.3,596.2,523.9,668.4,860.0,648.76
Entre 31 e 35 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,430.0,512.7,495.5,414.6,760.0,522.5600000000001
19 anos,F,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,469.4,499.2,527.5,558.5,560.0,522.92
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,418.7,520.8,555.8,724.2,640.0,571.9
23 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,437.5,614.5,578.2,538.4,600.0,553.72
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,444.0,530.6,499.3,576.1,640.0,538.0
17 anos,M,Branco,Pública,São Caetano do Sul,SP,Santo André,SP,1,1,1,1,566.2,603.6,598.1,631.7,640.0,607.92
17 anos,M,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,369.6,502.1,497.9,587.2,380.0,467.36
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,583.8,559.1,573.7,781.5,800.0,659.62
18 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,395.9,441.3,480.9,470.4,440.0,445.7
17 anos,F,Pardo,Privada,,,Santo André,SP,1,1,1,1,528.3,442.2,511.2,583.8,800.0,573.1
17 anos,F,Não Declarado,Pública,,,Santo André,SP,1,1,1,1,546.3,589.9,536.0,448.0,540.0,532.04
Entre 36 e 40 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,489.5,587.3,586.1,556.7,680.0,579.9200000000001
17 anos,M,Branco,Pública,,,Santo André,SP,1,1,1,1,481.7,427.0,502.6,566.9,860.0,567.64
17 anos,M,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,458.6,419.0,529.8,445.5,620.0,494.58000000000004
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,554.7,628.6,563.0,694.3,940.0,676.12
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,497.5,584.5,501.3,595.5,480.0,531.76
17 anos,M,Não Declarado,Pública,São Caetano do Sul,SP,Santo André,SP,1,1,1,1,513.3,605.7,572.1,701.1,520.0,582.4399999999999
17 anos,M,Branco,Pública,São Bernardo do Campo,SP,Santo André,SP,1,1,1,1,570.7,577.8,542.7,662.1,820.0,634.6600000000001
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,618.0,633.3,566.9,706.3,900.0,684.9
17 anos,F,Amarelo,Privada,Santo André,SP,Santo André,SP,1,1,1,1,448.2,458.9,486.8,534.2,720.0,529.62
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,468.5,542.9,506.4,639.2,640.0,559.4
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,540.3,471.5,522.0,646.0,560.0,547.96
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,500.1,573.5,556.4,607.6,600.0,567.52
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,542.6,587.8,552.7,562.6,680.0,585.14
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,573.1,642.6,602.3,675.5,860.0,670.7
18 anos,F,Preto,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,432.8,398.2,517.0,425.3,480.0,450.66
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,379.7,553.2,423.8,482.5,500.0,467.84
17 anos,F,Pardo,Privada,São Paulo,SP,Santo André,SP,1,1,1,1,453.0,458.5,554.6,535.1,640.0,528.24
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,559.7,607.5,621.3,644.1,780.0,642.5200000000001
21 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,477.1,401.5,488.2,421.9,600.0,477.73999999999995
17 anos,M,Amarelo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,532.8,631.4,575.1,668.0,580.0,597.46
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,502.0,608.1,552.9,622.5,600.0,577.1
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,389.9,534.8,443.6,493.1,560.0,484.2799999999999
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,445.8,447.6,499.8,639.6,660.0,538.5600000000001
23 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,564.1,620.8,591.9,679.7,780.0,647.3
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,484.5,349.1,444.6,507.9,660.0,489.21999999999997
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,598.5,595.3,551.0,624.0,760.0,625.76
18 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,434.0,551.3,518.9,438.5,780.0,544.54
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,519.1,609.0,549.6,640.9,600.0,583.72
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,389.1,595.4,562.0,523.3,680.0,549.96
18 anos,M,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,541.4,563.2,498.8,492.8,740.0,567.24
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,413.8,425.7,370.0,394.0,0.0,320.7
19 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,479.3,587.2,631.8,407.8,520.0,525.22
Entre 26 e 30 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,537.0,556.0,456.4,596.7,560.0,541.22
21 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,408.7,529.3,505.6,418.6,560.0,484.43999999999994
17 anos,M,Branco,Privada,,,Santo André,SP,1,1,1,1,545.5,472.3,485.8,660.1,580.0,548.74
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,636.3,551.9,509.1,680.2,860.0,647.5
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,645.0,628.2,636.3,692.2,900.0,700.3399999999999
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,392.4,461.8,503.8,416.9,600.0,474.9799999999999
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,503.6,423.0,480.0,628.6,660.0,539.04
18 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,419.2,451.2,503.3,429.0,580.0,476.53999999999996
23 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,451.4,379.5,395.9,434.2,780.0,488.2
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,631.6,656.9,647.0,681.3,900.0,703.36
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,434.9,492.5,485.2,398.1,580.0,478.14
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,420.2,398.0,460.5,397.8,560.0,447.3
Entre 31 e 35 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,513.4,574.0,551.8,456.0,480.0,515.04
18 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,418.3,547.1,501.7,561.2,480.0,501.66
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,426.7,466.3,521.2,557.7,520.0,498.38
18 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,541.5,592.4,562.7,458.3,640.0,558.98
18 anos,M,Pardo,Pública,,,Santo André,SP,1,1,1,1,448.2,419.8,417.2,524.1,460.0,453.86
19 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,440.4,543.1,524.4,524.1,600.0,526.4
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,480.4,598.7,533.1,455.9,580.0,529.6200000000001
17 anos,M,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,514.1,486.9,516.2,657.5,740.0,582.9399999999999
21 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,399.2,480.0,474.1,371.4,760.0,496.93999999999994
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,474.0,619.7,584.1,569.9,740.0,597.54
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,532.4,647.8,575.1,590.0,620.0,593.0600000000001
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,574.2,503.2,559.2,677.2,700.0,602.76
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,585.8,656.6,586.3,701.0,780.0,661.9399999999999
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,429.0,536.8,522.3,436.6,540.0,492.93999999999994
Entre 36 e 40 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,589.7,592.1,536.0,560.7,920.0,639.7
18 anos,M,Pardo,Pública,,,Santo André,SP,1,1,1,1,594.1,603.2,548.1,583.4,680.0,601.76
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,585.1,632.5,622.5,775.1,860.0,695.04
20 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,569.7,574.8,567.5,689.0,740.0,628.2
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,494.7,589.6,568.6,636.8,660.0,589.9399999999999
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,454.2,537.3,574.0,463.3,560.0,517.76
22 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,475.3,595.7,566.2,536.5,680.0,570.74
Entre 26 e 30 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,526.3,544.5,497.8,412.8,620.0,520.28
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,399.5,430.1,497.9,477.7,480.0,457.03999999999996
17 anos,F,Preto,Pública,,,Santo André,SP,1,1,1,1,560.9,531.6,555.1,477.4,880.0,601.0
17 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,493.1,571.7,534.3,561.6,660.0,564.14
17 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,480.5,501.6,517.5,533.1,540.0,514.54
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,498.6,602.2,566.8,565.9,760.0,598.7
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,519.4,627.5,608.5,701.7,780.0,647.42
18 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,581.2,572.3,538.4,572.7,880.0,628.9200000000001
17 anos,F,Pardo,Privada,Santo André,SP,Santo André,SP,1,1,1,1,616.3,634.8,609.2,695.4,880.0,687.14
17 anos,F,Branco,Privada,,,Santo André,SP,1,1,1,1,486.6,452.1,510.3,662.8,720.0,566.36
17 anos,F,Branco,Privada,São Paulo,SP,Santo André,SP,1,1,1,1,402.6,474.4,468.8,582.2,560.0,497.6
21 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,426.9,562.9,511.6,530.5,640.0,534.38
18 anos,M,Branco,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,530.0,571.8,503.1,530.0,460.0,518.9799999999999
Entre 41 e 45 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,403.6,447.5,445.9,459.7,540.0,459.34
Entre 31 e 35 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,416.1,569.9,420.6,379.5,540.0,465.21999999999997
18 anos,M,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,561.1,598.9,571.2,602.5,0.0,466.73999999999995
23 anos,F,Amarelo,Não respondeu,,,Santo André,SP,1,1,1,1,385.0,389.3,519.6,522.5,520.0,467.2799999999999
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,546.1,420.6,525.1,749.3,680.0,584.22
21 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,554.4,600.0,594.7,642.5,780.0,634.32
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,542.1,584.5,538.8,678.6,640.0,596.8
18 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,553.9,577.4,558.3,470.3,680.0,567.98
21 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,555.7,597.8,594.3,667.1,720.0,626.98
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,445.4,554.6,481.4,649.5,800.0,586.1800000000001
18 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,410.3,398.8,491.6,562.8,740.0,520.7
Entre 46 e 50 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,437.4,539.9,356.7,460.1,480.0,454.82
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,449.3,398.8,565.5,486.3,400.0,459.9799999999999
20 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,386.2,447.3,508.9,576.3,660.0,515.74
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,488.3,538.2,541.9,655.3,760.0,596.74
17 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,494.7,496.4,478.8,404.6,540.0,482.9
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,401.3,434.3,488.6,439.5,700.0,492.73999999999995
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,543.2,560.5,606.2,629.8,760.0,619.9399999999999
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,395.4,530.3,465.0,396.7,720.0,501.4799999999999
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,475.3,517.7,537.4,550.8,600.0,536.24
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,448.2,567.5,554.3,563.5,720.0,570.7
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,389.9,408.4,389.2,397.5,500.0,417.0
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,498.2,411.4,536.3,384.7,500.0,466.12
18 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,412.8,370.0,325.7,483.0,560.0,430.3
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,602.5,599.8,574.6,661.1,840.0,655.6
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,486.8,598.3,540.0,566.5,880.0,614.3199999999999
17 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,463.0,588.3,572.8,583.8,600.0,561.5799999999999
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,548.9,561.7,559.3,604.5,700.0,594.88
18 anos,M,Branco,Pública,,,Santo André,SP,1,1,1,1,401.7,494.9,402.8,684.1,560.0,508.7
17 anos,F,Amarelo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,617.9,594.1,620.1,657.1,700.0,637.8399999999999
18 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,416.8,438.8,373.5,411.2,500.0,428.06000000000006
18 anos,M,Branco,Privada,,,Santo André,SP,1,1,1,1,385.0,524.0,498.5,436.3,540.0,476.76000000000005
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,523.9,513.6,531.4,506.1,620.0,539.0
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,616.0,599.6,587.1,671.3,620.0,618.8
17 anos,F,Branco,Privada,São Caetano do Sul,SP,Santo André,SP,1,1,1,1,651.7,637.0,596.0,689.4,880.0,690.8199999999999
Entre 26 e 30 anos,M,Amarelo,Não respondeu,,,Santo André,SP,1,1,1,1,473.7,573.1,531.5,550.2,520.0,529.7
17 anos,F,Preto,Pública,São Bernardo do Campo,SP,Santo André,SP,1,1,1,1,439.9,570.6,592.8,577.4,780.0,592.14
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,564.1,615.1,591.7,429.5,800.0,600.08
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,543.7,590.9,557.8,534.5,640.0,573.38
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,612.7,687.2,581.6,681.1,760.0,664.5200000000001
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,506.8,451.0,530.9,495.9,400.0,476.91999999999996
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,377.6,474.1,472.7,503.9,620.0,489.66
Entre 26 e 30 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,641.1,672.9,594.9,674.7,680.0,652.72
18 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,511.8,460.6,495.7,444.0,680.0,518.42
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,637.1,665.3,650.6,710.1,840.0,700.6200000000001
18 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,407.3,348.5,529.4,560.7,660.0,501.18
21 anos,F,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,545.9,504.9,497.3,477.2,420.0,489.05999999999995
18 anos,M,Pardo,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,499.4,494.5,546.3,524.9,360.0,485.02
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,440.3,361.8,533.9,417.0,580.0,466.6
17 anos,M,Branco,Privada,,,Santo André,SP,1,1,1,1,605.4,581.7,476.8,685.3,580.0,585.8399999999999
17 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,557.0,603.7,562.9,648.3,680.0,610.3799999999999
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,488.1,541.7,578.4,548.4,600.0,551.32
18 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,584.5,626.1,609.7,684.6,740.0,648.98
17 anos,M,Branco,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,413.0,518.2,512.2,482.7,640.0,513.22
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,597.8,598.3,599.0,567.9,680.0,608.6
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,602.3,578.6,586.9,821.3,740.0,665.8199999999999
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,505.5,494.4,462.3,467.3,580.0,501.9
24 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,572.1,597.2,576.3,735.7,700.0,636.26
17 anos,M,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,607.1,663.5,628.3,641.5,760.0,660.0799999999999
19 anos,F,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,394.3,477.3,416.4,554.2,640.0,496.43999999999994
21 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,573.8,685.8,601.4,677.6,880.0,683.72
17 anos,M,Branco,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,367.6,542.6,556.5,710.7,680.0,571.48
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,525.9,573.5,553.2,646.9,580.0,575.9
20 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,567.4,655.8,614.8,681.5,820.0,667.9
17 anos,M,Branco,Privada,,,Santo André,SP,1,1,1,1,468.4,426.9,497.3,392.4,420.0,441.0
18 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,540.1,511.0,520.7,406.0,800.0,555.5600000000001
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,591.2,663.7,591.2,630.9,860.0,667.4
17 anos,M,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,536.0,472.6,573.4,617.2,560.0,551.8399999999999
17 anos,M,Amarelo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,515.6,418.4,550.4,559.5,520.0,512.78
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,451.7,525.1,502.7,375.3,580.0,486.96000000000004
18 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,580.1,645.7,618.6,740.8,620.0,641.04
Entre 26 e 30 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,478.6,582.2,518.9,503.6,580.0,532.6600000000001
20 anos,F,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,415.7,362.1,314.5,410.8,400.0,380.62
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,434.1,582.3,536.0,644.8,560.0,551.4399999999999
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,523.0,588.1,577.7,586.0,600.0,574.96
17 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,509.6,479.6,548.5,376.8,600.0,502.9
Entre 31 e 35 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,584.7,617.6,607.9,729.4,600.0,627.92
Entre 26 e 30 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,414.6,544.8,573.7,555.9,540.0,525.8
18 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,432.1,432.9,500.5,360.4,560.0,457.18
17 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,500.2,546.0,567.5,369.4,720.0,540.62
17 anos,F,Branco,Pública,Curitiba,PR,Santo André,SP,1,1,1,1,435.7,491.4,487.6,433.5,560.0,481.64000000000004
23 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,402.0,464.9,320.7,389.6,460.0,407.43999999999994
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,422.0,392.8,494.4,627.3,540.0,495.3
20 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,590.3,622.2,629.7,718.5,620.0,636.14
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,568.6,578.4,518.5,716.8,740.0,624.46
18 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,558.7,591.4,567.4,538.3,860.0,623.1600000000001
25 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,537.5,529.5,558.9,581.2,580.0,557.42
22 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,522.3,590.6,550.1,676.8,840.0,635.9599999999999
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,632.5,650.5,650.7,720.0,880.0,706.74
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,406.3,497.8,427.7,440.6,480.0,450.48
19 anos,F,Pardo,Pública,Poá,SP,Santo André,SP,1,1,1,1,365.4,380.8,411.4,426.9,400.0,396.9
18 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,552.7,593.6,543.7,538.2,680.0,581.6400000000001
19 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,583.8,609.9,578.8,675.6,820.0,653.62
17 anos,M,Branco,Privada,,,Santo André,SP,1,1,1,1,434.6,536.7,467.4,418.6,480.0,467.46000000000004
17 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,442.3,404.5,455.7,441.4,580.0,464.78000000000003
18 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,497.9,503.4,545.3,643.7,640.0,566.06
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,484.4,431.0,467.8,574.6,680.0,527.5600000000001
19 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,616.6,619.2,561.2,685.3,720.0,640.46
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,484.1,535.5,531.0,450.1,600.0,520.14
18 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,547.7,563.6,560.6,510.9,920.0,620.56
23 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,728.4,719.6,670.2,782.8,860.0,752.1999999999999
21 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,425.7,492.9,437.4,527.0,520.0,480.6
18 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,642.0,692.6,631.9,654.9,860.0,696.28
22 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,770.7,723.6,720.2,796.8,880.0,778.26
