TP_FAIXA_ETARIA,SEXO,TP_COR_RACA,TP_ESCOLA,MUNIC_ESCOLA,SG_UF_ESC,NO_MUNICIPIO_PROVA,UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NOTA_REDACAO,nota_final
18 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,529.0,416.2,502.6,392.4,520.0,472.03999999999996
22 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,583.2,612.0,660.7,607.0,620.0,616.58
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,592.3,560.2,535.7,637.4,680.0,601.12
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,607.9,566.5,527.6,654.8,840.0,639.3599999999999
20 anos,F,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,407.5,490.9,532.4,443.8,600.0,494.91999999999996
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,643.1,539.4,663.9,822.5,620.0,657.78
18 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,560.2,637.7,600.3,671.6,840.0,661.96
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,384.6,565.4,466.6,463.6,400.0,456.0400000000001
19 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,476.3,572.1,556.4,733.0,760.0,619.56
Entre 26 e 30 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,475.7,564.2,521.5,492.8,560.0,522.8399999999999
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,408.3,470.5,557.5,552.0,500.0,497.66
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,389.0,445.6,421.6,412.7,480.0,429.78000000000003
17 anos,M,Pardo,Pública,,,Santo André,SP,1,1,1,1,460.6,592.0,462.1,565.1,420.0,499.96000000000004
18 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,577.6,587.0,568.7,665.4,600.0,599.74
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,752.8,750.2,683.7,846.8,800.0,766.7
23 anos,F,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,414.4,516.0,476.6,451.7,540.0,479.73999999999995
19 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,467.6,463.5,447.6,510.2,780.0,533.78
Entre 56 e 60 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,567.1,651.5,582.9,716.4,500.0,603.58
